% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 03/12/2014 through 03/12/2015, for BRKM5.SA.
% Time: Fri Apr 29 21:15:27 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
19.46,1,0,19.27,18.99,19.27,0,0,0,19.19,0,0,0,59.57,59.57,811600,-40.43,1,0,0,0,0,-40.43,1,0,14.98,15.16,14.87,14.98,0,0,0,14.91,0,0,0,37.93,37.93,492400,-62.07,1,0,0,0,0,-62.07,19.46
19.46,0.93,-0.03,19.26,19.01,19.27,0,0,-876600,19.27,-0.05,-454.9,0,58.51,57.45,876600,-42.55,0.86,-0.03,0,-0.05,0,-42.55,0.99,-0.67,14.78,14.88,14.66,14.88,0,0,-272400,14.81,-1.34,-3636.85,0,30.97,24,272400,-76,1.1,-0.67,0,-1.34,0,-76,19.44
19.44,0.86,0.12,19.3,19.07,19.28,0,0,124000,19.16,0.16,1623.19,80,60.99,65.96,1000600,-34.04,0.73,0.12,0,0.16,80,-34.04,0.99,-0.54,14.76,14.86,14.61,14.84,0,0,-459800,14.76,-1.47,-3890.44,0,29.73,27.27,187400,-72.73,1.26,-0.54,0,-1.47,0,-72.73,19.5
19.5,0.87,-1.28,18.95,18.85,19.2,0,0,-1385500,19.26,-1.66,-25751.17,10,46.26,15.38,1509500,-84.62,0.98,-1.28,0,-1.66,10,-84.62,1.06,-2.24,14.4,14.78,14.38,14.73,0,0,-857300,14.78,-3.87,-13585.56,0,17.95,2.56,397500,-97.44,1.74,-2.24,0,-3.87,0,-97.44,18.9
18.9,0.99,-2.07,18.7,18.52,19.1,0,0,-3014600,18.75,-2.96,-47243.25,6.15,33.24,18.37,1629100,-81.63,1.76,-2.07,0,-2.96,6.15,-81.63,1.18,-2.24,14.32,14.42,14.23,14.65,0,0,-3627600,14.27,-4.41,-28976.11,0,13.17,9.68,2770300,-90.32,2.4,-2.24,0,-4.41,0,-90.32,18.9
18.9,1.16,-2.92,18.43,18.32,18.93,0,0,-4406600,18.7,-4.36,-67341.65,4.35,14.36,9.32,1392000,-90.68,2.8,-2.92,0,-4.36,4.35,-90.68,1.41,-4.47,13.87,14.44,13.85,14.43,0,0,-4542000,14.39,-7.41,-57710.75,0,4.59,1.53,914400,-98.47,3.67,-4.47,0,-7.41,0,-98.47,18.57
18.57,1.42,-3.66,18.18,18.06,18.71,0,0,-6660800,18.36,-5.66,-97919.51,3.42,12.01,8.33,2254200,-91.67,4.22,-3.66,0,-5.66,3.42,-91.67,1.75,-5.89,13.53,13.78,13.52,14.18,0,0,-5188500,13.75,-9.68,-73558.62,0,3.94,0.61,646500,-99.39,5.39,-5.89,0,-9.68,0,-99.39,18.1
18.1,1.99,-6.6,17.46,17.18,18.34,0,0,-9754800,18.06,-9.39,-220454.16,2.12,9.91,12.07,3094000,-87.93,7.17,-6.19,-1.81,-9.39,2.12,-87.93,2.3,-8.23,13.04,13.48,12.87,13.83,0,0,-5674400,13.46,-12.95,-91155.89,0,3.19,7.42,485900,-92.58,8.11,-7.52,-1.94,-12.95,0,-91.54,17.52
17.52,2.74,-8.38,16.95,16.56,17.94,0,0,-12212500,17.49,-12.04,-292242.65,1.67,11.22,13.27,2457700,-86.73,10.8,-7.28,-2.31,-11.99,1.67,-86.73,3.05,-10.65,12.53,12.85,12.23,13.46,0,0,-6391600,12.81,-16.36,-119205.89,0,6.09,10.24,717200,-89.76,11.58,-9.06,-2.25,-15.22,0,-88.59,17.33
17.33,3.45,-6.67,17.14,16.55,17.63,0,0,-9445000,16.75,-11.05,-261220.53,8.88,15.11,20,2767500,-80,13.93,-4.63,-2.16,-11.19,7.48,-80,3.85,-10.41,12.42,12.58,11.95,13.08,0,0,-7145200,12.14,-17.09,-125821.69,0,10.77,14.64,753600,-85.36,15.06,-7.62,-2.34,-15.85,0,-83.39,17.33
