% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 04/12/2014 through 04/12/2015, for BBDC4.SA.
% Time: Fri Apr 29 21:17:11 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
37.84,1,0,36.65,36.5,36.65,0,0,0,37.75,0,0,0,11.2,11.2,7129400,-88.8,1,0,0,0,0,-88.8,1,0,14.2,14.48,14.09,14.2,0,0,0,14.41,0,0,0,28.21,28.21,4268200,-71.79,1,0,0,0,0,-71.79,37.51
37.51,0.94,1.09,37.46,36.45,37.06,0,0,6163000,36.99,2.21,136191,0,41.93,72.66,6163000,-27.34,0.92,1.09,0,2.21,0,-27.34,0.96,0.56,14.36,14.45,13.96,14.28,0,0,4994300,14.1,1.13,56273.8,0,52.56,76.92,4994300,-23.08,1.01,0.56,0,1.13,0,-23.08,37.36
37.36,1.2,-2.69,35.58,35.36,36.56,0,0,-1443500,37.22,-2.92,-245575.7,30.11,30.91,8.87,7606500,-91.13,2.2,-2.69,0,-2.92,30.11,-91.13,1.06,-2.84,13.68,14.31,13.51,14.08,0,0,-2461000,14.29,-3.66,-296762.69,19.05,40.88,17.53,7455300,-82.47,1.61,-2.84,0,-3.66,19.05,-82.47,36.53
36.53,1.5,-0.31,36.41,35.14,36.52,0,0,9402400,35.2,-0.66,7465.52,46.59,42.86,47.04,10845900,-52.96,3.59,-0.31,0,-0.66,46.59,-52.96,1.15,-0.8,13.93,14.05,13.57,14.04,0,0,4509500,13.78,-1.9,-169377.82,37.61,45.92,43.3,6970500,-56.7,2.12,-0.8,0,-1.9,37.61,-56.7,36.55
36.55,1.81,-2.59,35.35,35.01,36.29,0,0,-19600,36.25,-3.55,-266836.04,35.81,22.64,12.01,9422000,-87.99,4.96,-2.59,0,-3.55,35.81,-87.99,1.3,-3.17,13.49,13.91,13.35,13.93,0,0,-2627800,13.91,-5,-394820.17,26.8,24.4,12.39,7137300,-87.61,2.92,-3.17,0,-5,26.8,-87.61,36.28
36.28,2.11,-0.21,36.2,35.07,36.2,0,0,10984800,35.4,-1.23,-2263.49,45.85,33.7,42.05,11004400,-57.95,6.14,-0.21,0,-1.23,45.85,-57.95,1.5,-2.96,13.44,13.68,13.2,13.78,0,0,-9460200,13.35,-5.35,-420144.12,25.95,24.81,18.75,6832400,-81.25,3.88,-2.96,0,-5.35,25.95,-81.25,36.23
36.23,2.71,-5.23,34.08,34.08,35.52,0,0,-4315400,35.7,-7.01,-898257.52,32.98,18.02,0,15300200,-100,8.81,-5.23,0,-7.01,32.98,-100,1.82,-6.38,12.83,13.48,12.8,13.47,0,0,-18160000,13.39,-9.65,-815001.11,18.72,10.98,1.79,8699800,-98.21,5.49,-6.38,0,-9.65,18.72,-98.21,34.75
34.75,3.68,-6.98,33.12,32.8,35.03,0,0,-21102300,34.72,-9.63,-1371127.94,29.26,16.13,6.35,16786900,-93.65,12.91,-6.59,-3.53,-9.63,29.26,-93.21,2.36,-9.34,12.26,12.84,12.15,13.19,0,0,-34243300,12.83,-13.66,-1529535.87,14.86,8.42,4.72,16083300,-95.28,8.13,-8.69,-1.94,-13.66,14.86,-95.22,33.7
33.7,4.78,-5.82,33.29,32.2,34.41,0,0,469400,32.43,-9.17,-1260403.63,30.64,8.56,19.33,21571700,-80.67,17.17,-4.51,-4.17,-11.13,23.51,-78.87,3.03,-10.14,12,12.16,11.68,12.8,0,0,-49473100,11.97,-15.49,-1852516.95,13.58,5.98,11.43,15229800,-88.57,11.27,-8.33,-2.36,-16.43,8.74,-87.83,35.57
35.57,4.98,-1.09,34.92,33.47,34.32,0,0,20408200,33.55,-4.72,-284187.05,41.61,24.63,48.23,19938800,-51.77,16.05,0.44,-0.66,-1.85,45.67,-37.47,3.22,-3.55,12.83,13.11,12.36,12.67,0,0,-32398900,12.4,-9.65,-671551.45,32.21,19.07,41.07,17074200,-58.93,11,-1.07,-0.85,-6.21,35.88,-51.48,35.99
35.99,4.99,-1.54,34.71,34.37,34.02,0,0,10414500,35.33,-5.29,-344229.55,40.78,37.35,44.51,9993700,-55.49,14.18,0.54,-1.7,-4.67,37.86,-42.3,3.26,-2.27,12.97,13.4,12.87,12.58,0,0,-23678200,13.24,-8.66,-576391.82,34.59,32.86,46.07,8720700,-53.93,9.92,1.08,-0.96,-6.89,33.45,-42.15,35.6
35.6,5,0.9,35.6,34.82,34.33,0.02,0,19965600,35.13,-2.87,-99357.77,45.4,51.01,60.28,9551100,-39.72,12.57,3.01,0.25,0.71,51.83,-16.66,3.29,-1.12,13.11,13.37,13.07,12.63,-0.01,0,-13671400,13.28,-7.68,-468377.02,36.8,46.07,51.07,10006800,-48.93,9,2.61,-0.38,-2.82,42.69,-28.5,35.91
35.91,4.87,1.62,35.9,34.73,34.88,0.07,0,28309000,35.7,-2.05,-29048.22,46.8,56.8,65.6,8343400,-34.4,11.16,4.01,-0.3,-0.83,47.61,-8.19,3.28,0.57,13.34,13.46,13.03,12.85,-0,0,-6337000,13.27,-6.06,-339703.34,40.14,52.14,59.29,7334400,-40.71,7.88,4.52,-0.1,-0.74,48.2,-7.78,35.82
35.82,4.77,1.29,35.82,34.7,35.39,0.1,0,19865500,35.17,-2.26,-47863.82,46.48,63.36,64.19,8443500,-35.81,9.86,3.03,1.74,5.11,70.52,-4.49,3.3,-0.24,13.23,13.34,12.96,13.1,-0.01,0,-13319200,13.29,-6.83,-397277.7,39.15,55.24,55.36,6982200,-44.64,7.2,3.2,0.4,3.12,58.77,-12.92,35.82
35.82,4.77,1.29,35.82,34.7,35.39,0.1,0,19865500,35.17,-2.26,-47863.82,46.48,63.36,64.19,8443500,-35.81,9.86,3.03,1.74,5.11,70.52,-4.49,3.32,0.63,13.28,13.31,12.97,13.19,-0,-0.92,-10746800,13.28,-6.48,-387555.86,39.82,57.47,57.76,2572400,-42.24,6.61,2.42,1.02,8.32,78.98,-10.11,35.95
35.95,4.6,-0.54,35.06,35.02,35.42,0.06,-1.59,16475400,35.51,-4.34,-119792.24,43.66,61.22,53.86,3390100,-46.14,9.17,0.05,1.94,5.86,74.01,-24.54,3.31,-0.26,13.07,13.36,12.94,13.21,-0.02,-1.29,-16230300,13.26,-8.98,-474267.83,35.89,55.32,52.85,5483500,-47.15,5.84,-0.37,1.07,8.92,81.29,-35.45,35.81
35.81,4.46,0.58,35.3,35,35.54,0.04,-2.16,23158500,35,-5.77,-74043.7,40.98,59.37,60.08,6683100,-39.92,8.5,-0.08,2.01,6.04,74.45,-27.38,3.3,0.71,13.16,13.28,13,13.22,-0.03,-0.52,-6241800,13.05,-3.8,-405487.03,43.47,57.69,62.45,9988500,-37.55,5.17,-0.04,0.33,2.57,67.01,-50.85,35.64
35.64,4.32,0,35.06,35.06,35.43,0.01,-0.52,16983100,35.34,-1.46,-116029.42,47.49,59.9,65.75,6175400,-34.25,7.92,-0.82,0.14,0.4,52.58,-57.41,3.18,1.92,13.27,13.42,13.1,13.2,-0.02,-0.66,305100,13.36,-4.74,-350763.7,41.41,62.2,71.3,6546900,-28.7,5.23,0.47,0.3,2.31,65.96,-36.54,35.64
35.64,4.32,0,35.06,35.06,35.43,0.01,-0.52,16983100,35.34,-1.46,-116029.42,47.49,59.9,65.75,6175400,-34.25,7.92,-0.82,0.14,0.4,52.58,-57.41,3.19,2.76,13.37,13.48,12.95,13.23,-0,-0.12,6237800,13.22,-0.89,-306056.09,48.29,72.75,84.5,5932700,-15.5,4.85,0.94,0.26,1.98,64.44,-20.37,35.49
35.49,4.72,-1.74,34.3,34.13,35.11,-0.09,-2.11,6684600,34.75,-5.8,-339300.66,39.73,58.03,48.27,10298500,-51.73,9.95,-2.81,-0.41,-1.18,43.73,-90.67,3.38,-1.13,12.82,13.12,12.71,13.14,-0.05,-0.62,-6748100,13.1,-4.61,-840255.42,42.25,73.04,63.33,12985900,-36.67,6.28,-2.67,-0.52,-3.9,28.69,-85.71,34.77
