% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 04/12/2014 through 04/12/2015, for BRFS3.SA.
% Time: Fri Apr 29 21:20:08 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
65.65,1,0,63.4,62.65,63.4,0,0,0,65.45,0,0,0,25,25,2208200,-75,1,0,0,0,0,-75,1,0,24.45,24.7,24.22,24.45,0,0,0,24.62,0,0,0,47.92,47.92,1193400,-52.08,1,0,0,0,0,-52.08,64.03
64.03,0.96,-0.4,62.9,62.55,63.15,0,0,-1228200,63.39,-0.79,-9686.12,0,18.15,11.29,1228200,-88.71,0.98,-0.4,0,-0.79,0,-88.71,1.01,-0.89,24.02,24.39,23.92,24.24,0,0,-1422400,24.32,-1.76,-25015.68,0,30.37,12.82,1422400,-87.18,1.21,-0.89,0,-1.76,0,-87.18,63.94
63.94,1.18,-1.22,62,61.6,62.77,0,0,-3425900,62.81,-2.21,-41131.75,0,15.39,9.88,2197700,-90.12,2.14,-1.22,0,-2.21,0,-90.12,1.12,-1.62,23.65,24.51,23.56,24.04,0,0,-2831400,24.47,-3.27,-46719.68,0,22.88,7.89,1409000,-92.11,1.84,-1.62,0,-3.27,0,-92.11,63.1
63.1,1.69,-1.7,61.35,60.53,62.41,0,0,-5556000,61.99,-3.23,-63463.44,0,12.39,16.02,2130100,-83.98,4.43,-1.7,0,-3.23,0,-83.98,1.28,-1.85,23.45,24.1,23.37,23.89,0,0,-4647300,24.08,-4.09,-62076.05,0,8.91,6.02,1815900,-93.98,2.66,-1.85,0,-4.09,0,-93.98,61.75
61.75,2.28,-2.28,60.64,60.15,62.06,0,0,-6995900,61,-4.35,-80127.32,0,11.6,8.91,1439900,-91.09,6.86,-2.28,0,-4.35,0,-91.09,1.56,-3.04,22.99,23.52,22.95,23.71,0,0,-5885300,23.52,-5.97,-86360.96,0,5.4,2.29,1238000,-97.71,4,-3.04,0,-5.97,0,-97.71,61.77
61.77,3.03,-2.25,60.39,59.41,61.46,0,0,-9251900,60.25,-4.75,-89428.11,0,13.54,15.71,2256000,-84.29,9.86,-2.25,0,-4.75,0,-84.29,1.99,-4.15,22.54,22.89,22.45,23.33,0,0,-7252500,22.89,-7.81,-113122.1,0,4.1,4,1367200,-96,5.95,-4.15,0,-7.81,0,-96,60.86
60.86,3.97,-4.37,58.65,58.6,60.61,0,0,-12023600,59.97,-7.49,-169288.32,0,8.44,0.71,2771700,-99.29,13.42,-4.37,0,-7.49,0,-99.29,2.54,-5.58,22,22.64,21.98,22.93,0,0,-8489400,22.61,-10.02,-142755.08,0,2.34,0.74,1236900,-99.26,8.39,-5.58,0,-10.02,0,-99.26,59.47
59.47,5.48,-5.51,57.5,56.2,59.71,0,0,-14973300,59.02,-9.31,-227125.58,0,10.06,13.76,2949700,-86.24,18.77,-4.94,-5.9,-9.31,0,-83.4,3.41,-7.9,21.22,22.01,20.89,22.44,0,0,-10666300,21.96,-13.21,-219936.17,0,4.47,8.66,2176900,-91.34,12.13,-7.09,-3.23,-13.21,0,-90.88,59.23
59.23,6.99,-2.64,59.05,55.8,59.25,0,0,-10777500,56.3,-6.86,-114021.4,20.81,15.82,32.99,4195800,-67.01,23.68,-1.48,-3.85,-6.12,22.3,-60.07,4.31,-6.77,21.3,21.59,20.59,22.01,0,0,-8441500,20.87,-12.88,-211548.62,2.42,8.89,17.27,2224800,-82.73,15.76,-5.12,-2.72,-11.32,2.78,-81.89,62.45
62.45,7.12,1.99,62,59.55,59.52,0,0,-6077800,59.8,-2.21,120764.63,43.27,36.57,62.94,4699700,-37.06,21.3,3.44,0,0,50,-15.07,4.38,-0.5,22.72,23.35,22.16,21.96,0,0,-6221800,22.23,-7.08,-63568.61,31.71,25.92,51.82,2219700,-48.18,14.17,1.81,-0.93,-3.93,38.17,-39.32,62.25
