% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 16/12/2014 through 16/12/2015, for BBDC4.SA.
% Time: Sat Apr 30 17:42:28 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
33.7,1,0,33.29,32.2,33.29,0,0,0,32.43,0,0,0,72.67,72.67,21571700,-27.33,1,0,0,0,0,-27.33,1,0,12,12.16,11.68,12,0,0,0,11.97,0,0,0,66.67,66.67,15229800,-33.33,1,0,0,0,0,-33.33,35.57
35.57,1.41,2.39,34.92,33.47,34.1,0,0,19938800,33.55,4.9,976216.59,0,76.69,80.71,19938800,-19.29,2.78,2.39,0,4.9,0,-19.29,1.18,3.34,12.83,13.11,12.36,12.41,0,0,17074200,12.4,6.92,1180965.5,0,73.54,80.42,17074200,-19.58,1.91,3.34,0,6.92,0,-19.58,35.99
35.99,1.89,1.18,34.71,34.37,34.31,0,0,9945100,35.33,4.27,916174.08,88.6,73.2,66.23,9993700,-33.77,4.73,1.18,0,4.27,88.6,-33.77,1.43,2.94,12.97,13.4,12.87,12.6,0,0,25794900,13.24,8.08,1276125.13,0,74.03,75,8720700,-25,3.02,2.94,0,8.08,0,-25,35.6
35.6,2.34,2.8,35.6,34.82,34.63,0,0,19496200,35.13,6.94,1161045.86,92.31,78.88,89.71,9551100,-10.29,6.41,2.8,0,6.94,92.31,-10.29,1.66,3.01,13.11,13.37,13.07,12.73,0,0,35801700,13.28,9.25,1384139.93,0,79.52,83.14,10006800,-16.86,3.97,3.01,0,9.25,0,-16.86,35.91
35.91,2.85,2.91,35.9,34.73,34.88,0,0,27839600,35.7,7.84,1231355.41,93.07,84.52,97.62,8343400,-2.38,8.23,2.91,0,7.84,93.07,-2.38,1.9,3.81,13.34,13.46,13.03,12.85,0,0,43136100,13.27,11.17,1512813.61,0,83.8,93.26,7334400,-6.74,4.93,3.81,0,11.17,0,-6.74,35.82
35.82,3.31,2.23,35.82,34.7,35.39,0,0,19396100,35.17,7.6,1212539.81,90.68,94.28,95.51,8443500,-4.49,9.74,2.23,0,7.6,90.68,-4.49,2.09,2.45,13.23,13.34,12.96,13.1,0,0,36153900,13.29,10.25,1455239.25,92.41,87.83,87.08,6982200,-12.92,5.59,2.45,0,10.25,92.41,-12.92,35.82
35.82,3.31,2.23,35.82,34.7,35.39,0,0,19396100,35.17,7.6,1212539.81,90.68,94.28,95.51,8443500,-4.49,9.74,2.23,0,7.6,90.68,-4.49,2.28,2.42,13.28,13.31,12.97,13.19,0,0,38726300,13.28,10.67,1464961.09,92.67,90.07,89.89,2572400,-10.11,6.17,2.42,0,10.67,92.67,-10.11,35.95
35.95,3.78,0.05,35.06,35.02,35.42,0,0,16006000,35.51,5.32,1140611.39,72.87,89.53,75.46,3390100,-24.54,11.24,0.05,0,5.32,72.87,-24.54,2.47,0.7,13.07,13.36,12.94,13.21,0,0,33242800,13.26,8.92,1378249.12,81.29,85.02,78.09,5483500,-21.91,6.78,-0.37,1.07,8.92,81.29,-35.45,35.81
35.81,4.21,0.64,35.3,35,35.54,0,0,22689100,35,6.04,1186359.94,74.45,84.26,81.79,6683100,-18.21,12.47,-0.08,2.01,6.04,74.45,-27.38,2.64,1.24,13.16,13.28,13,13.22,0,0,43231300,13.05,9.67,1447029.92,82.22,83.71,83.15,9988500,-16.85,7.3,-0.04,0.33,2.57,67.01,-50.85,35.64
35.64,4.6,-0.04,35.06,35.06,35.43,0,0,16513700,35.34,5.32,1144374.21,70.35,77.57,75.46,6175400,-24.54,13.53,-0.82,0.14,0.4,52.58,-57.41,2.87,1.87,13.27,13.42,13.1,13.2,0,0,49778200,13.36,10.58,1501753.25,83.25,83.52,89.33,6546900,-10.67,8.18,0.47,0.3,2.31,65.96,-36.54,35.64
