% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 16/12/2014 through 16/12/2015, for BRFS3.SA.
% Time: Sun May 01 00:55:30 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
59.23,1,0,59.05,55.8,59.05,0,0,0,56.3,0,0,0,94.75,94.75,4195800,-5.25,1,0,0,0,0,-5.25,1,0,21.3,21.59,20.59,21.3,0,0,0,20.87,0,0,0,71,71,2224800,-29,1,0,0,0,0,-29,62.45
62.45,1.72,2.44,62,59.55,60.52,0,0,4699700,59.8,5,234786.03,0,93.99,93.23,4699700,-6.77,3.88,2.44,0,5,0,-6.77,1.38,3.23,22.72,23.35,22.16,22.01,0,0,2219700,22.23,6.67,147980.01,0,74.09,77.17,2219700,-22.83,2.68,3.23,0,6.67,0,-22.83,62.25
62.25,2.38,1.07,61.5,60.75,60.85,0,0,2573700,62.08,4.15,217640.87,85.51,91.23,85.71,2126000,-14.29,6.35,1.07,0,4.15,85.51,-14.29,1.74,2.39,22.81,23.25,22.7,22.28,0,0,4069400,23.08,7.09,155307.16,0,76.2,80.43,1849700,-19.57,4.13,2.39,0,7.09,0,-19.57,64.4
64.4,3.5,4.31,64.4,62.25,61.74,0,0,6564900,63.34,9.06,405843.79,92.13,92.98,100,3991200,0,10.28,4.31,0,9.06,92.13,0,2.31,4.55,23.65,24.18,23.53,22.62,0,0,6725300,23.73,11.03,253113.33,0,80.95,85.24,2655900,-14.76,6.42,4.55,0,11.03,0,-14.76,64.4
64.4,4.53,2.39,63.59,62.5,62.11,0,0,5009600,64.39,7.69,386281.79,81.7,92.1,90.58,1555300,-9.42,13.65,2.39,0,7.69,81.7,-9.42,2.85,3.64,23.66,23.99,23.54,22.83,0,0,8585300,23.66,11.08,253899.8,0,83.73,85.52,1860000,-14.48,8.38,3.64,0,11.08,0,-14.48,63.94
63.94,5.5,2.31,63.84,62.62,63.07,0,0,7428600,63.39,8.11,395791.93,82.32,94.69,93.49,2419000,-6.51,16.54,2.31,0,8.11,82.32,-6.51,3.19,2.33,23.47,23.7,23.08,23.26,0,0,7637600,23.65,10.19,246289.32,92.55,83.66,80.22,947700,-19.78,9.13,2.33,0,10.19,92.55,-19.78,63.94
63.94,5.5,2.31,63.84,62.62,63.07,0,0,7428600,63.39,8.11,395791.93,82.32,94.69,93.49,2419000,-6.51,16.54,2.31,0,8.11,82.32,-6.51,3.5,1.96,23.46,23.55,23.22,23.41,0,0,7178100,23.53,10.14,246093.54,92.19,81.89,79.94,459500,-20.06,9.79,1.96,0,10.14,92.19,-20.06,63.85
63.85,6.33,0.69,62.9,62.45,63.25,0,0,6653500,63.84,6.52,384379.12,73.05,88.88,82.56,775100,-17.44,18.64,0.69,0,6.52,73.05,-17.44,3.83,1.48,23.4,23.69,23.34,23.53,0,0,6713800,23.47,9.86,244906.09,90.08,79.48,78.27,464300,-21.73,10.61,0.39,2.1,9.86,90.08,-38.61,64.51
64.51,7.28,1.9,63.83,62.31,63.71,0,0,7631800,62.87,8.09,398843.65,75.75,89.41,92.19,978300,-7.81,21.24,1.07,4.78,8.09,75.75,-13.71,4.18,1.89,23.55,23.79,23.32,23.51,0,0,7275000,23.32,10.56,248503.51,90.61,80.22,82.45,561200,-17.55,11.53,0.52,0.83,3.65,80.74,-42.57,64.26
64.26,8.17,1.14,63.44,62.75,63.52,0,0,3814800,64.15,7.43,375521.86,72.7,87.49,87.72,3817000,-12.28,23.48,0.13,1.44,2.32,60.71,-28.46,4.57,2.47,23.75,23.94,23.61,23.53,0,0,7990600,23.87,11.5,254580.82,91.25,82.92,88.02,715600,-11.98,12.68,0.79,0.94,4.12,82.19,-39.09,64.26
