% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 18/12/2014 through 18/12/2015, for AGRO3.SA.
% Time: Sun May 01 21:22:09 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 252 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
8.1,1,0,8.03,7.84,8.03,0,0,0,7.84,0,0,0,73.08,73.08,39200,-26.92,1,0,0,0,0,-26.92,1,0,2.94,2.96,2.93,2.94,0,0,0,2.93,0,0,0,33.33,33.33,2400,-66.67,1,0,0,0,0,-66.67,8.2
8.2,0.96,1.05,8.2,7.94,8.12,0,0,25800,7.95,2.12,546.2,0,86.54,100,25800,0,0.98,1.05,0,2.12,0,0,0.93,0.17,2.95,2.95,2.95,2.95,0,0,100,2.95,0.34,0.34,0,50,66.67,100,-33.33,0.86,0.17,0,0.34,0,-33.33,9.25
9.25,1.21,3.19,8.51,8.23,8.25,0,0,82200,8.49,5.98,2678.4,0,73.53,47.52,56400,-52.48,2.26,3.19,0,5.98,0,-52.48,0.89,2.13,3.04,3.04,2.87,2.98,0,0,3900,2.87,3.4,116.27,0,66.67,100,3800,0,0.86,2.13,0,3.4,0,0,8.6
8.6,1.45,3.18,8.6,8.4,8.33,0,0,103300,8.4,7.1,2901.55,0,67.14,53.9,21100,-46.1,3.35,3.18,0,7.1,0,-46.1,0.85,0.59,3,3.02,3,2.98,0,0,2400,3.02,2.04,96.54,71.43,81.05,76.47,1500,-23.53,0.86,0.59,0,2.04,71.43,-23.53,8.95
8.95,1.77,5.82,8.95,8.69,8.46,0,0,111100,8.69,11.46,3218.99,0,60.05,78.72,7800,-21.28,4.81,5.82,0,11.46,0,-21.28,0.85,0.59,3,3.02,3,2.98,0,0,2400,3.02,2.04,96.54,71.43,81.05,76.47,1500,-23.53,0.86,0.59,0,2.04,71.43,-23.53,8.92
8.92,2.08,2.37,8.7,8.7,8.59,0,0,86500,8.87,8.34,2531.84,78.63,64.54,60.99,24600,-39.01,6.06,2.37,0,8.34,78.63,-39.01,0.81,0.2,2.99,2.99,2.99,2.98,0,0,2300,2.99,1.7,96.2,66.67,82.35,70.59,100,-29.41,0.84,0.2,0,1.7,66.67,-29.41,9.09
9.09,2.42,5.91,9.09,8.69,8.77,0,0,230000,8.81,13.2,8964.6,83.97,76.12,88.65,143500,-11.35,7.45,5.91,0,13.2,83.97,-11.35,0.83,4.04,3.13,3.13,3.13,3.02,0,0,2800,3.13,6.46,119.61,82.76,82.35,100,500,0,1.12,4.04,0,6.46,82.76,0,9.09
9.09,2.42,5.91,9.09,8.69,8.77,0,0,230000,8.81,13.2,8964.6,83.97,76.12,88.65,143500,-11.35,7.45,5.91,0,13.2,83.97,-11.35,0.77,-1.09,2.97,3.06,2.94,3.03,0,0,500,2.99,1.02,2.04,53.33,69.68,38.46,2300,-61.54,1.03,-1.09,0,1.02,53.33,-61.54,8.79
8.79,2.72,0.68,8.65,8.64,8.8,0,0,169700,8.79,7.72,6045.78,65.5,69.03,57.45,60300,-42.55,8.49,-0.25,0.62,7.72,65.5,-45.8,0.75,4.26,3.15,3.15,2.99,3.05,0,0,24400,2.99,7.14,1450.53,66.67,79.49,100,23900,0,1.07,3.86,0.21,7.14,66.67,0,8.73
8.73,2.91,1.12,8.7,8.46,8.82,0,0,183500,8.55,8.34,6125.55,66.34,69.03,60.99,13800,-39.01,8.81,-0.49,0.5,6.1,63.3,-53.92,0.75,4.93,3.19,3.19,3.19,3.09,0,0,29600,3.19,8.5,1516.56,68.66,79.49,100,5200,0,1.22,4.01,0.24,8.14,68.18,0,8.84
