% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 18/12/2014 through 18/12/2015, for BRFS3.SA.
% Time: Mon May 02 02:23:43 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
62.25,1,0,61.5,60.75,61.5,0,0,0,62.08,0,0,0,50,50,2126000,-50,1,0,0,0,0,-50,1,0,22.81,23.25,22.7,22.81,0,0,0,23.08,0,0,0,20,20,1849700,-80,1,0,0,0,0,-80,64.4
64.4,1.47,2.3,64.4,62.25,62.95,0,0,3991200,63.34,4.72,188202.93,0,75,100,3991200,0,3.03,2.3,0,4.72,0,0,1.18,1.81,23.65,24.18,23.53,23.23,0,0,2655900,23.73,3.68,97806.17,0,42.09,64.19,2655900,-35.81,1.88,1.81,0,3.68,0,-35.81,64.4
64.4,1.91,0.68,63.59,62.5,63.16,0,0,2435900,64.39,3.4,168640.92,78.17,75.94,77.81,1555300,-22.19,4.77,0.68,0,3.4,78.17,-22.19,1.34,1.23,23.66,23.99,23.54,23.37,0,0,4515900,23.66,3.73,98592.64,0,49.68,64.86,1860000,-35.14,2.64,1.23,0,3.73,0,-35.14,63.94
63.94,2.32,0.8,63.84,62.62,63.33,0,0,4854900,63.39,3.8,178151.07,79.55,87.49,84.66,2419000,-15.34,6.26,0.8,0,3.8,79.55,-15.34,1.35,0.31,23.47,23.7,23.08,23.4,0,0,3568200,23.65,2.89,90982.16,81.73,60.36,52.03,947700,-47.97,2.59,0.31,0,2.89,81.73,-47.97,63.94
63.94,2.32,0.8,63.84,62.62,63.33,0,0,4854900,63.39,3.8,178151.07,79.55,87.49,84.66,2419000,-15.34,6.26,0.8,0,3.8,79.55,-15.34,1.35,0.21,23.46,23.55,23.22,23.41,0,0,3108700,23.53,2.85,90786.38,80.95,56.08,51.35,459500,-48.65,2.54,0.21,0,2.85,80.95,-48.65,63.85
63.85,2.65,-0.55,62.9,62.45,63.25,0,0,4079800,63.84,2.28,166738.25,64.29,73.79,58.9,775100,-41.1,7.22,-0.55,0,2.28,64.29,-41.1,1.41,-0.04,23.4,23.69,23.34,23.53,0,0,2644400,23.47,2.59,89598.93,76.58,50.23,47.3,464300,-52.7,2.76,-0.04,0,2.59,76.58,-52.7,64.51
64.51,3.15,0.77,63.83,62.31,63.71,0,0,5058100,62.87,3.79,181202.78,69.98,75.16,81.91,978300,-18.09,9.03,0.77,0,3.79,69.98,-18.09,1.49,0.52,23.55,23.79,23.32,23.51,0,0,3205600,23.32,3.24,93196.34,79.37,52.03,57.43,561200,-42.57,3.16,0.52,0,3.24,79.37,-42.57,64.26
64.26,3.61,0.13,63.44,62.75,63.52,0,0,1241100,64.15,3.15,157880.99,65.59,70.79,71.54,3817000,-28.46,10.57,0.13,0,3.15,65.59,-28.46,1.63,1.2,23.75,23.94,23.61,23.53,0,0,3921200,23.87,4.12,99273.66,82.19,58.56,70.95,715600,-29.05,3.85,0.79,0.94,4.12,82.19,-39.09,64.26
64.26,3.61,0.13,63.44,62.75,63.52,0,0,1241100,64.15,3.15,157880.99,65.59,70.79,71.54,3817000,-28.46,10.57,0.13,0,3.15,65.59,-28.46,1.56,-0.45,23.35,23.74,23.14,23.5,0,0,3270800,23.74,2.37,88319.55,64.52,57.43,43.92,650400,-56.08,3.51,-0.72,-0.3,-1.27,35.29,-70.33,64.34
64.34,3.36,-1.63,62.18,60.97,63.24,0,0,-2550800,62,1.11,82568.98,54.55,63.83,38.03,3791900,-61.97,10.04,-2.01,0.68,1.11,54.55,-65.82,1.61,-1.98,22.94,23.53,22.68,23.4,0,0,2140800,23.47,0.57,68478.06,52.86,44.07,17.33,1130000,-82.67,4.49,-2.04,-0.72,-3.04,24.65,-79.37,62.49
62.49,3.27,-3.12,61,60.53,62.67,0,0,-4749200,61.6,-0.81,40849.59,47.11,40.46,11.81,2198400,-88.19,10.4,-3.13,-3.4,-5.28,20.49,-88.19,1.8,-3.95,22.39,22.79,22.34,23.2,0,0,942900,22.77,-1.84,39757.6,42.55,21.32,2.72,1197900,-97.28,6.26,-3.75,-1.08,-4.6,19.66,-96.88,62.22
62.22,3.19,-2.03,61.55,60.71,62.4,0,0,-1493300,61.33,0.08,70206.06,50.27,25.16,25.63,3255900,-74.37,10.7,-1.8,-2.04,-3.21,31.45,-74.37,1.89,-2.89,22.58,22.97,22.45,23,-0.05,0,2084900,22.94,-1.01,49448.58,46.18,11.03,13.04,1142000,-86.96,7.06,-2.41,-0.88,-3.75,27.55,-85,64.65
64.65,3.73,2.13,64.3,61.8,62.49,0,0,1275100,61.8,4.55,193895.74,61.71,42.98,91.5,2768400,-8.5,12.4,2.48,0.46,0.72,52.87,-8.5,1.99,2.02,23.76,23.85,23.22,23,-0,0,3535900,23.3,4.16,125275.86,61.34,30.98,77.17,1451000,-22.83,7.5,2.46,0.36,1.54,55.84,-11.25,64.8
64.8,4.29,0.28,63.15,62.85,62.44,0.01,0,-563700,64.6,2.68,161008.96,56.29,59.5,61.36,1838800,-38.64,14.11,0.59,0.25,0.4,51.52,-38.64,2.08,0.92,23.52,23.86,23.38,23.04,0.02,0,2218600,23.46,3.11,111969.8,58.01,51.45,64.13,1317300,-35.87,7.91,1.45,-0.03,-0.13,49.53,-26.25,63.04
63.04,4.02,-1.75,61.78,61.01,62.36,-0.08,0,-2766300,63,0.46,113224.93,50.97,60.71,29.27,2202600,-70.73,12.87,-1.13,-2.05,-3.21,38.15,-70.73,2.02,0.14,23.38,23.59,23.14,23.13,0.02,0.57,1017400,23.43,2.5,104819.75,56.24,65.94,56.52,1201200,-43.48,7.19,1.07,-0.37,-1.56,44.05,-31.58,62.62
62.62,3.76,-0.87,62.29,61,62.61,-0.12,0,-1001900,61,1.28,127790.22,52.64,43.95,41.22,1764400,-58.78,11.83,-0.05,-1.15,-1.81,43.44,-58.78,1.9,-0.06,23.31,23.47,22.95,23.31,0.02,-0.34,280800,23.01,-1.44,102614.36,45.53,59.81,58.79,736600,-41.21,6.62,0.8,-0.04,-0.17,49.28,-36.18,63
