% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 23/12/2014 through 23/12/2015, for AGRO3.SA.
% Time: Fri Apr 29 22:10:25 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 252 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
8.6,1,0,8.6,8.4,8.6,0,0,0,8.4,0,0,0,100,100,21100,0,1,0,0,0,0,0,1,0,3,3.02,3,3,0,0,0,3.02,0,0,0,0,0,1500,-100,1,0,0,0,0,-100,8.95
8.95,1.02,1.99,8.95,8.69,8.78,0,0,7800,8.69,4.07,317.44,0,100,100,7800,0,1.26,1.99,0,4.07,0,0,1,0,3,3.02,3,3,0,0,0,3.02,0,0,0,0,0,1500,-100,1,0,0,0,0,-100,8.92
8.92,1.05,-0.57,8.7,8.7,8.75,0,0,-16800,8.87,1.16,-369.71,58.33,84.85,54.55,24600,-45.45,1.49,-0.57,0,1.16,58.33,-45.45,0.93,-0.17,2.99,2.99,2.99,3,0,0,-100,2.99,-0.33,-0.33,0,0,0,100,-100,0.87,-0.17,0,-0.33,0,-100,9.09
9.09,1.12,2.89,9.09,8.69,8.83,0,0,126700,8.81,5.7,6063.05,74.75,84.85,100,143500,0,1.93,2.89,0,5.7,74.75,0,0.9,2.96,3.13,3.13,3.13,3.04,0,0,400,3.13,4.33,23.08,93.33,33.33,100,500,0,0.92,2.96,0,4.33,93.33,0,9.09
9.09,1.12,2.89,9.09,8.69,8.83,0,0,126700,8.81,5.7,6063.05,74.75,84.85,100,143500,0,1.93,2.89,0,5.7,74.75,0,0.86,-1.74,2.97,3.06,2.94,3.02,0,0,-1900,2.99,-1,-94.49,45.16,38.6,15.79,2300,-84.21,0.91,-1.74,0,-1,45.16,-84.21,8.79
8.79,1.17,-1.68,8.65,8.64,8.8,0,0,66400,8.79,0.58,3144.24,51.75,63.59,36.23,60300,-63.77,2.22,-1.68,0,0.58,51.75,-63.77,0.81,3.35,3.15,3.15,2.99,3.05,0,0,22000,2.99,5,1353.99,65.31,71.93,100,23900,0,0.83,3.35,0,5,65.31,0,8.73
8.73,1.15,-0.93,8.7,8.46,8.82,0,0,80200,8.55,1.16,3224.01,53.38,59.9,43.48,13800,-56.52,2.09,-0.93,0,1.16,53.38,-56.52,0.77,3.85,3.19,3.19,3.19,3.09,0,0,27200,3.19,6.33,1420.02,67.92,71.93,100,5200,0,0.83,3.85,0,6.33,67.92,0,8.84
8.84,1.17,0.57,8.84,8.61,8.8,0,0,95300,8.76,2.79,3467,57.41,47.83,63.77,15100,-36.23,2.23,0.57,0,2.79,57.41,-36.23,0.78,4.39,3.23,3.28,3.17,3.13,0,0,35300,3.22,7.67,1521.59,70.18,95.1,85.29,8100,-14.71,1.06,4.39,0,7.67,70.18,-14.71,8.84
8.84,1.2,0.5,8.84,8.8,8.82,0,0,95300,8.83,2.79,3467,57.41,57,63.77,5600,-36.23,2.35,0.18,0.24,2.79,57.41,-39.68,0.78,2.7,3.19,3.27,3.17,3.15,0,0,33100,3.18,6.33,1494.35,65.57,86.27,73.53,2200,-26.47,1.25,2.2,0.19,6.33,65.57,-26.47,8.8
8.8,1.17,-0.97,8.7,8.7,8.75,0,0,87800,8.8,1.16,3348.22,52.84,57,43.48,7500,-56.52,2.13,-1.01,-0.25,-2.79,41.13,-61.9,0.78,4.38,3.26,3.26,3.26,3.2,0,0,33300,3.26,8.67,1498.73,69.12,84.31,94.12,200,-5.88,1.41,3.16,0.27,9.03,70.15,-5.88,8.74
