% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 24/12/2014 through 24/12/2015, for AGRO3.SA.
% Time: Tue May 03 19:46:25 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 251 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
8.95,1,0,8.95,8.69,8.95,0,0,0,8.69,0,0,0,100,100,7800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92
8.92,0.93,-1.42,8.7,8.7,8.82,0,0,-24600,8.87,-2.79,-687.15,0,51.92,3.85,24600,-96.15,0.86,-1.42,0,-2.79,0,-96.15,1,0,2.99,2.99,2.99,2.99,0,0,0,2.99,0,0,0,0,0,100,0,1,0,0,0,0,0,9.09
9.09,0.91,1.98,9.09,8.69,8.91,0,0,118900,8.81,1.56,5745.61,60.94,67.95,100,143500,0,0.97,1.98,0,1.56,60.94,0,0.97,2.29,3.13,3.13,3.13,3.06,0,0,500,3.13,4.68,23.41,0,0,100,500,0,1.02,2.29,0,4.68,0,0,9.09
9.09,0.91,1.98,9.09,8.69,8.91,0,0,118900,8.81,1.56,5745.61,60.94,67.95,100,143500,0,0.97,1.98,0,1.56,60.94,0,0.92,-1.98,2.97,3.06,2.94,3.03,0,0,-1800,2.99,-0.67,-94.16,46.67,0,15.79,2300,-84.21,0.97,-1.98,0,-0.67,46.67,-84.21,8.79
8.79,0.88,-2.23,8.65,8.64,8.85,0,0,58600,8.79,-3.35,2826.8,36.11,35.36,2.22,60300,-97.78,0.98,-2.23,0,-3.35,36.11,-97.78,0.86,2.94,3.15,3.15,2.99,3.06,0,0,22100,2.99,5.35,1354.32,66.67,71.93,100,23900,0,0.88,2.94,0,5.35,66.67,0,8.73
8.73,0.85,-1.34,8.7,8.46,8.82,0,0,72400,8.55,-2.79,2906.56,38.94,46.77,38.1,13800,-61.9,1.02,-1.34,0,-2.79,38.94,-61.9,0.82,3.37,3.19,3.19,3.19,3.09,0,0,27300,3.19,6.69,1420.36,69.23,71.93,100,5200,0,0.87,3.37,0,6.69,69.23,0,8.84
8.84,0.8,0.21,8.84,8.61,8.8,0,0,87500,8.76,-1.23,3149.55,45.67,33.54,60.32,15100,-39.68,0.93,0.21,0,-1.23,45.67,-39.68,0.82,3.86,3.23,3.28,3.17,3.13,0,0,35400,3.22,8.03,1521.92,71.43,95.1,85.29,8100,-14.71,1.05,3.86,0,8.03,71.43,-14.71,8.84
8.84,0.75,0.18,8.84,8.8,8.82,0,0,87500,8.83,-1.23,3149.55,45.67,52.91,60.32,5600,-39.68,0.85,0.18,0,-1.23,45.67,-39.68,0.82,2.2,3.19,3.27,3.17,3.15,0,0,33200,3.18,6.69,1494.68,66.67,86.27,73.53,2200,-26.47,1.21,2.2,0,6.69,66.67,-26.47,8.8
8.8,0.73,-1.23,8.7,8.7,8.75,0,0,80000,8.8,-2.79,3030.77,41.13,52.91,38.1,7500,-61.9,0.95,-1.01,-0.25,-2.79,41.13,-61.9,0.82,3.86,3.26,3.26,3.26,3.2,0,0,33400,3.26,9.03,1499.07,70.15,84.31,94.12,200,-5.88,1.34,3.16,0.27,9.03,70.15,-5.88,8.74
8.74,0.71,-0.69,8.74,8.7,8.76,0,0,115600,8.71,-2.35,3194.45,42.76,47.62,44.44,35600,-55.56,1.04,-0.62,0.04,0.46,51.67,-55.56,0.9,8.16,3.43,3.46,3.43,3.26,0,0,34500,3.43,14.72,1556.43,76.19,87.29,94.23,1100,-5.77,2.07,7.09,0.3,9.58,71.43,-5.77,8.76
