% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 02/01/2015 through 28/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 253 cases, 35 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Target numeric

@data
35.49,1,0,34.3,34.13,34.3,0,0,0,34.75,0,0,0,12.49,12.49,10298500,-87.51,1,0,12.82,13.12,12.71,12.82,0,0,0,13.1,0,0,0,26.83,26.83,12985900,-73.17,34.77
34.77,1.15,0.07,34.35,33.31,34.32,0,0,10205700,33.71,0.15,14906.91,0,30.1,47.71,10205700,-52.29,1.04,-0.67,12.65,12.78,12.29,12.73,0,0,-8792900,12.35,-1.33,-116598.52,0,35.1,43.37,8792900,-56.63,35.48
35.48,1.08,2.22,35.48,34.14,34.71,0,0,23356300,34.41,3.44,447517.62,0,53.25,99.54,13150600,-0.46,1.02,2.76,13.27,13.34,12.65,12.91,0,0,5534100,12.75,3.51,585594.37,78.48,54.51,93.33,14327000,-6.67,37.3
37.3,1.5,4.64,36.89,35.62,35.25,0,0,37370700,35.94,7.55,1004459.68,0,78.99,89.72,14014400,-10.28,1.15,4.05,13.62,13.86,13.53,13.09,0,0,12308900,13.66,6.24,764281.63,85.09,73.81,84.71,6774800,-15.29,37.41
37.41,1.91,4.1,37.08,36.3,35.62,0,0,45065700,37,8.11,1044092.37,0,93.74,91.95,7695000,-8.05,1.3,4.05,13.76,13.95,13.56,13.22,0,0,18471500,13.64,7.33,827627.01,86.72,88.87,88.55,6162600,-11.45,36.93
36.93,1.97,-0.35,35.47,35.28,35.85,0,0,36655500,36.72,3.41,678924.57,63.33,78.12,52.68,8410200,-47.32,1.36,1.67,13.49,13.78,13.34,13.36,0,0,13175500,13.67,5.23,723708.4,71.61,81.85,72.29,5296000,-27.71,35.63
35.63,1.86,-1.82,34.84,34.6,35.95,0,0,28318000,35.2,1.57,530814.65,55.38,60.65,37.32,8337500,-62.68,1.28,-1.02,13.11,13.17,12.97,13.45,0,0,7633300,13.03,2.26,567590.09,57.51,70.08,49.4,5542200,-50.6,35.93
35.93,1.8,-1.33,34.95,34.95,35.85,0,0,39052600,35.1,1.9,564737.81,56.34,43.33,40,10734600,-60,1.34,0.09,13.26,13.53,13.16,13.45,0,0,15287800,13.52,3.43,655170.18,60.58,60.04,58.43,7654500,-41.57,35.85
35.85,1.82,-0.25,35.32,34.35,35.53,0,0,48702100,34.5,2.97,666892.75,59.27,42.11,49.03,9649500,-50.97,1.48,2.96,13.69,13.73,13.33,13.46,0,0,23130600,13.45,6.79,909499.29,67.33,64.06,84.34,7842800,-15.66,36.31
36.31,1.71,-1.14,34.96,34.96,35.11,0,0,35529600,35.39,1.92,532594.41,55.63,43.09,40.24,13172500,-59.76,1.53,-0.79,13.18,13.87,13.15,13.35,0,0,13504100,13.81,2.81,550878.77,55.96,65.46,53.61,9626500,-46.39,35.41
35.41,1.67,-0.16,35.3,34.7,35.07,0,0,52139100,35.15,2.92,694176.42,58.06,45.94,48.54,16609500,-51.46,1.57,2.29,13.62,13.62,13.16,13.37,0,0,31001200,13.33,6.24,1135000.47,61.56,72.69,80.12,17497100,-19.88,35.65
35.65,1.79,-2.07,34.56,34.3,35.02,-0.06,0,43855600,35.1,0.76,520527.98,51.87,39.76,30.49,8283500,-69.51,1.57,2.29,13.62,13.62,13.16,13.37,0,0,31001200,13.33,6.24,1135000.47,61.56,72.69,80.12,17497100,-19.88,35.25
35.25,1.91,-2.21,34.45,34.34,34.92,-0.11,0,36895900,35.2,0.44,498376.16,51.06,35.61,27.81,6959700,-72.19,1.57,-0.18,13.29,13.32,13.09,13.41,-0,0,25583800,13.2,3.67,1003741.88,56.2,64.66,60.24,5417400,-39.76,35.54
35.54,1.87,0.17,35.29,34.3,34.91,-0.09,0,47942400,34.97,2.89,767692.71,56.27,35.53,48.29,11046500,-51.71,1.81,2.67,13.7,13.76,13.23,13.5,0.03,0,33324000,13.3,6.86,1242529.09,60.48,75.1,84.94,7740200,-15.06,36.35
36.35,2.03,0.99,35.68,35.42,35.06,-0.04,1.38,58768300,35.7,4.02,887363.88,58.33,44.63,57.81,10825900,-42.19,2.25,4.35,13.97,14.21,13.73,13.55,0.08,0,42231300,13.92,8.97,1418074.41,62.86,77.56,87.5,8907300,-12.5,36.35
36.35,1.92,-0.09,35.37,34.78,35.07,-0.02,1.02,50775900,35.7,2.97,817945.59,55.97,47.91,37.62,7992400,-62.38,2.48,1.58,13.66,13.71,13.42,13.65,0.09,0.84,36166000,13.69,6.55,1283482.93,58.79,81.26,71.35,6065300,-28.65,35.97
35.97,1.82,1.42,35.94,34.85,35.35,0.05,0.46,59742600,34.85,1.3,962421.35,52.88,49.39,52.73,8966700,-47.27,2.79,2.41,13.86,13.9,13.46,13.7,0.12,1.21,43771100,13.53,9.57,1394831.39,62.58,78.81,77.56,7605100,-22.44,36.26
36.26,1.82,1.78,36,35,35.66,0.11,-0.89,71905600,35.42,-2.41,982726.86,43.29,48.34,54.66,12163000,-45.34,3.19,2.91,13.98,14.07,13.57,13.83,0.15,0.71,50143600,13.59,5.35,1450004.55,58.24,76.79,81.45,6372500,-18.55,36.45
36.45,1.93,0.02,35.25,35.15,35.65,0.08,-1.83,59200400,35.55,-4.94,717999.9,37.27,47.84,36.12,12705200,-63.88,3.46,-0.36,13.53,13.79,13.44,13.8,0.13,-0.09,42293900,13.76,-0.66,1197331.81,48.98,68.06,45.16,7849700,-54.84,35.93
35.93,2.12,-1.2,34.77,34.22,35.47,0.01,-0.7,46657000,35.6,-1.97,547231.26,44.22,38.48,24.67,12543400,-75.33,3.42,-1.54,13.34,13.52,13.06,13.67,0.1,-0.42,34245800,13.52,-3.05,1084313.4,45.29,52.15,29.84,8048100,-70.16,34.39
34.39,2.73,-3.94,33.73,33.48,35.14,-0.16,-1.11,32563100,34.3,-3.19,125670.83,41.42,23.07,8.42,14093900,-91.58,3.44,-7.39,12.48,12.73,12.41,13.44,-0.02,-1.01,23758800,12.6,-7.49,408239.94,40,26.3,3.89,10487000,-96.11,34.28
34.28,3.47,-2.77,34.08,33.14,34.77,-0.26,-0.87,44597200,34.15,-2.49,250542.91,43.52,20.49,28.4,12034100,-71.6,3.56,-5.69,12.68,12.69,12.27,13.2,-0.09,-0.43,32233300,12.27,-3.28,544049.24,45.59,18.29,21.13,8474500,-78.87,35.39
35.39,3.4,0.77,35.32,34.52,34.63,-0.21,0,56419600,35,0,680700.65,50,34.22,65.86,11822400,-34.14,3.33,-2.21,13.14,13.17,12.93,13.03,-0.1,-0.12,39603300,12.95,-0.9,811415.17,48.84,23.29,44.85,7370000,-55.15,36.53
36.53,3.68,3.05,36.21,34.94,34.82,-0.06,1.25,70372000,35.32,3.58,1032275.85,57.71,61.61,90.56,13952400,-9.44,3.27,-1.16,13.25,13.36,12.77,12.98,-0.1,-0.44,48294800,12.79,-3.21,884175.06,45.47,38.83,50.52,8691500,-49.48,36.2
36.2,3.94,1.33,35.63,35.6,34.99,-0.01,0.33,60518400,35.78,0.93,874444.09,51.98,76.63,73.45,9853600,-26.55,3.21,-2.38,13.08,13.19,12.93,12.93,-0.12,-0.1,39583000,12.97,-0.76,772401.02,48.89,45.7,41.75,8711800,-58.25,35.81
35.81,3.69,1.5,35.78,34.9,35.4,0.04,1.22,69875000,35.55,3.53,913861.03,57.86,80.63,77.88,9356600,-22.12,3.04,-3.77,12.84,12.89,12.68,13,-0.16,-0.78,31921900,12.75,-5.73,631830.38,40.97,40.55,29.38,7661100,-70.62,36.15
36.15,3.69,2.2,36.15,35.46,35.82,0.1,1.7,80481500,35.55,4.93,1023512.61,60.6,80.04,88.79,10606500,-11.21,3.01,-1.79,13.09,13.14,12.72,13.08,-0.15,-0.2,38970800,12.72,-1.5,769075.32,47.64,37.8,42.27,7048900,-57.73,36.3
36.3,3.52,-0.36,35.24,35.24,35.8,0.08,-0.05,72411300,35.9,-0.14,820362.35,49.69,76.21,61.95,8070200,-38.05,2.93,-5.54,12.51,12.74,12.4,12.95,-0.19,-1.19,33943200,12.71,-8.69,546309.24,36.51,28.01,12.37,5027600,-87.63,35.58
35.58,4.01,-2.77,34.29,34.02,35.42,-0.02,-1.39,60176100,35.16,-3.9,490525.8,41.97,61.55,33.92,12235200,-66.08,3.41,-8.13,12.04,12.13,11.82,12.71,-0.26,-1.93,27067100,12.08,-13.82,287974.54,29.07,21.47,9.78,6876100,-90.22,35.65
