% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 02/01/2015 through 29/12/2015, for BRFS3.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 254 cases, 35 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Target numeric

@data
64.34,1,0,62.18,60.97,62.18,0,0,0,62,0,0,0,35.91,35.91,3791900,-64.09,1,0,22.94,23.53,22.68,22.94,0,0,0,23.47,0,0,0,30.59,30.59,1130000,-69.41,62.49
62.49,1.05,-0.96,61,60.53,61.59,0,0,-2198400,61.6,-1.9,-41719.4,0,24.12,12.34,2198400,-87.66,1.02,-1.21,22.39,22.79,22.34,22.66,0,0,-1197900,22.77,-2.4,-28720.46,0,17.39,4.2,1197900,-95.8,62.22
62.22,1.09,-0.04,61.55,60.71,61.58,0,0,1057500,61.33,-1.01,-12362.92,31.79,25,26.77,3255900,-73.23,0.99,-0.25,22.58,22.97,22.45,22.64,0,0,-55900,22.94,-1.57,-19029.48,25.68,18.32,20.17,1142000,-79.83,64.65
64.65,1.59,3.28,64.3,61.8,62.26,0,0,3825900,61.8,3.41,111326.76,73.66,43.54,91.5,2768400,-8.5,1.14,3.68,23.76,23.85,23.22,22.92,0,0,1395100,23.3,3.57,56797.81,71.35,39.47,94.04,1451000,-5.96,64.8
64.8,2.1,1.14,63.15,62.85,62.44,0,0,1987100,64.6,1.56,78439.98,58.61,59.88,61.36,1838800,-38.64,1.29,2.09,23.52,23.86,23.38,23.04,0,0,77800,23.46,2.53,43491.74,63.43,63.95,77.63,1317300,-22.37,63.04
63.04,1.97,-0.88,61.78,61.01,62.36,0,0,-215500,63,-0.64,30655.94,47.14,60.71,29.27,2202600,-70.73,1.34,1.23,23.38,23.59,23.14,23.13,0,0,-1123400,23.43,1.92,36341.69,59.57,80.03,68.42,1201200,-31.58,62.62
62.62,1.85,-0.05,62.29,61,62.61,0,0,1548900,61,0.18,45221.24,50.73,43.95,41.22,1764400,-58.78,1.32,0.8,23.31,23.47,22.95,23.31,0,0,-1860000,23.01,1.61,34136.3,57.81,69.96,63.82,736600,-36.18,63
63,1.91,-2.24,60.73,60.38,62.45,0,0,-380200,62.7,-2.33,-3091.43,42.01,26.14,7.92,1929100,-92.08,1.37,-0.29,23.05,23.64,22.84,23.4,0,0,-2759800,23.29,0.48,24099.92,52.09,59.65,46.71,899800,-53.29,62.55
62.55,1.97,-0.49,61.78,60.52,61.95,0,0,1342600,60.52,-0.64,26695.17,48.02,26.94,31.67,1722800,-68.33,1.52,2.01,23.64,23.92,23.27,23.38,0,0,-1688500,23.54,3.05,51521.49,60.87,64.27,82.28,1071300,-17.72,63.21
63.21,1.89,-0.01,62.08,61.5,61.73,0,0,3928700,61.8,-0.16,39253.12,49.52,26.02,38.46,2586100,-61.54,1.7,1.42,23.54,24.01,23.49,23.38,0,0,-2934300,23.83,2.62,46251.71,59.04,66.95,71.86,1245800,-28.14,63.79
