% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 02/01/2015 through 29/12/2015, for BRKM5.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 254 cases, 35 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Target numeric

@data
17.66,1,0,17.41,17.16,17.41,0,0,0,17.38,0,0,0,50,50,1833800,-50,1,0,12.82,12.94,12.64,12.82,0,0,0,12.94,0,0,0,60,60,435200,-40,17.2
17.2,1.14,-3.11,16.36,16.36,16.89,0,0,-2156200,17.12,-6.03,-130040.78,0,25,0,2156200,-100,1.1,-3.3,12,12.43,11.99,12.41,0,0,-520700,12.42,-6.4,-33305.3,0,30.53,1.05,520700,-98.95,16.49
16.49,1.38,-3.52,16.01,15.97,16.59,0,0,-3303400,16.46,-8.04,-154583.57,0,17.46,2.37,1147200,-97.63,1.28,-3.78,11.72,12.16,11.71,12.18,0,0,-1090300,12.11,-8.58,-46595.97,0,20.62,0.81,569600,-99.19,16.22
16.22,1.69,-2.71,16,15.65,16.45,0,0,-4687600,16.05,-8.1,-155448.15,0,6.59,17.41,1384200,-82.59,1.44,-2.61,11.76,11.96,11.72,12.07,0,0,-746600,11.89,-8.27,-45422.93,3.51,1.98,4.07,343700,-95.93,16.26
16.26,1.97,-1.98,16.04,15.64,16.36,0,0,-3554000,16.1,-7.87,-152614.15,2.76,13.19,19.8,1133600,-80.2,1.54,-1.56,11.84,12.1,11.66,12.03,0,0,-337200,11.7,-7.64,-42637.9,9.84,6.31,14.06,409400,-85.94,16.1
16.1,2.25,-3.46,15.69,15.57,16.02,0,0,-5423800,15.89,-9.88,-193414.03,2.22,14.32,5.74,1869800,-94.26,1.63,-1.38,11.83,12.02,11.78,11.83,0,0,-606400,12,-7.72,-42865.26,9.76,10.47,13.28,269200,-86.72,15.99
15.99,2.51,-1.38,15.99,15.59,15.95,0,0,-4285300,15.72,-8.16,-171645.39,16.19,15.21,20.1,1138500,-79.9,1.73,-0.97,11.86,11.95,11.77,11.8,0,0,-229300,11.89,-7.49,-41908.97,11.9,14.32,15.62,377100,-84.38,16.28
16.28,2.63,-2.13,15.82,15.72,15.91,0,0,-6307000,15.94,-9.13,-193139.38,14.98,12.6,11.96,2021700,-88.04,1.75,0.4,12.03,12.1,11.92,11.86,0,0,307200,11.95,-6.16,-34218.83,22.38,19.27,28.91,536500,-71.09,15.71
15.71,3.08,-7.18,14.87,14.85,15.68,0,0,-8062100,15.71,-14.59,-298534.14,10.56,10.92,0.71,1755100,-99.29,2.02,-2.92,11.59,11.77,11.3,11.83,0,0,-302500,11.52,-9.59,-56518.75,17.11,20.74,17.68,609700,-82.32,15.55
15.55,3.5,-5.94,14.97,14.96,15.47,0,0,-6018400,14.97,-14.01,-284790.36,13.25,5.65,4.27,2043700,-95.73,2.28,-4.54,11.34,11.77,11.31,11.73,0,0,-660100,11.77,-11.54,-64232.29,15.09,16.34,2.44,357600,-97.56,15.42
