% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 30/12/2014 through 30/12/2015, for PCAR4.SA.
% Time: Sun May 08 09:34:54 BRT 2016
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 257 cases, 47 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Bra_ADMI_07 numeric
@attribute Bra_BIAS_07 numeric
@attribute Bra_Momentum_07 numeric
@attribute Bra_PROC_07 numeric
@attribute Bra_RSI_07 numeric
@attribute Bra_WILLR_07 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Est_ADMI_07 numeric
@attribute Est_BIAS_07 numeric
@attribute Est_Momentum_07 numeric
@attribute Est_PROC_07 numeric
@attribute Est_RSI_07 numeric
@attribute Est_WILLR_07 numeric
@attribute Target numeric

@data
99.73,1,0,98.63,98.07,98.63,0,0,0,99.11,0,0,0,33.73,33.73,788300,-66.27,1,0,0,0,0,-66.27,1,0,36.99,37.53,36.7,36.99,0,0,0,37.34,0,0,0,34.94,34.94,332200,-65.06,1,0,0,0,0,-65.06,99.73
99.73,1,0,98.63,98.07,98.63,0,0,0,99.11,0,0,0,33.73,33.73,788300,-66.27,1,0,0,0,0,-66.27,0.98,-0.22,36.83,37.17,36.5,36.91,0,0,-149100,36.89,-0.43,-644.93,0,33.49,32.04,149100,-67.96,1.09,-0.22,0,-0.43,0,-67.96,98.8
98.8,1.96,-2.5,93.81,93.66,96.22,0,0,-715700,97.6,-4.89,-34975.91,0,18.1,2.47,715700,-97.53,4.7,-2.5,0,-4.89,0,-97.53,1.45,-4,34.74,36.06,34.71,36.19,0,0,-843500,36.06,-6.08,-40050.2,0,22.68,1.06,694400,-98.94,3.22,-4,0,-6.08,0,-98.94,94.34
94.34,3.25,-2.26,92.99,91.75,95.14,0,0,-1287800,93.5,-5.72,-39976.68,0,17.25,15.54,572100,-84.46,9.11,-2.26,0,-5.72,0,-84.46,2.1,-3.79,34.38,34.5,33.9,35.74,0,0,-1312300,34.05,-7.06,-44908.24,0,15.44,13.22,468800,-86.78,5.91,-3.79,0,-7.06,0,-86.78,95.52
95.52,4.09,0.28,95.5,92.66,95.23,0,0,-779300,93.58,-3.17,-26251.17,30.8,21.67,46.99,508500,-53.01,11.36,0.28,0,-3.17,30.8,-53.01,2.44,-1.2,35.2,35.3,34.38,35.63,0,0,-684600,35.01,-4.84,-29936.92,23.91,16.7,35.81,627700,-64.19,6.88,-1.2,0,-4.84,23.91,-64.19,98.71
98.71,4.01,1.41,96.92,95.58,95.57,0,0,-241400,96,-1.73,-18253.08,41.07,42.44,64.79,537900,-35.21,9.76,1.41,0,-1.73,41.07,-35.21,2.34,1.17,36.13,36.62,35.79,35.46,0,0,-144600,36.12,-2.32,-15669.88,40.14,36.82,61.43,540000,-38.57,6.14,1.17,0,-2.32,40.14,-38.57,98.15
98.15,4.13,1.92,97.78,94.75,95.4,0,0,177900,97,-0.86,-14532.5,45.93,62.45,75.56,419300,-24.44,9.16,1.92,0,-0.86,45.93,-24.44,2.27,1.86,36.49,36.69,35.68,35.39,0,0,229500,35.83,-1.35,-11942.33,44.7,56.2,71.35,374100,-28.65,5.33,1.86,0,-1.35,44.7,-28.65,97.81
97.81,4.25,-0.57,95.3,94.88,95.7,0,0,-137100,97.17,-3.38,-22521.87,37.1,61.61,44.49,315000,-55.51,8.66,-0.57,0,-3.38,37.1,-55.51,2.2,0.53,36.04,36.72,35.9,35.65,0,0,-122400,36.57,-2.57,-16282.02,40.81,63.91,58.95,351900,-41.05,4.69,0.99,-0.95,-2.57,40.81,-34.56,95.42
95.42,4.82,-2.23,93.41,93,95.78,0,0,-558700,95.3,-5.29,-30883.08,32.36,46.95,20.8,421600,-79.2,10.24,-1.78,-5.22,-5.29,32.36,-76.45,2.54,-2.31,34.92,35.3,34.72,35.76,0,0,-554700,35.25,-5.6,-29716.46,33.55,52.8,28.1,432300,-71.9,6.08,-1.4,-1.91,-5.19,34.42,-63.83,93.97
93.97,5.6,-2.19,93.2,92,95.32,0,0,-1176000,93.57,-5.51,-32270.87,31.91,27.82,18.17,617300,-81.83,12.58,-1.91,-0.61,-0.65,47.01,-79.17,2.67,-0.19,35.67,35.78,34.92,35.85,0,0,156300,34.98,-3.57,-14445.84,40.62,45.27,48.76,711000,-51.24,6.18,0.35,0.93,2.68,59.71,-37.23,93.5
