dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,25;25;4;RAE;2;RBF;3;EPSILON_SVR;26,22;26,74;26,22;26,1;0,12;99,54
2;1048576;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,59
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;26,22;26,74;26,22;25,83;0,39;98,5
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,59
2;1048576;0,5;25;1;RMSE;2;RBF;3;EPSILON_SVR;26,22;26,74;26,22;25,36;0,86;96,72
2;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,58
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;26,22;26,74;26,22;25,83;0,39;98,5
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,59
2;1048576;0,5;25;5;COMBINED;2;RBF;3;EPSILON_SVR;26,22;26,74;26,22;25,36;0,86;96,72
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,59
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;26,22;26,74;26,22;25,83;0,39;98,5
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;26,22;26,74;26,22;29,26;3,04;111,59
3;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;25,64;26,99;26,74;27,49;0,75;102,8
3;1048576;0,0001220703;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;25,64;26,99;26,74;29,08;2,34;108,75
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
3;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;25,64;26,99;26,74;27,49;0,75;102,8
3;1048576;0,0001220703;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;25,64;26,99;26,74;29,08;2,34;108,75
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
3;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;25,64;26,99;26,74;27,49;0,75;102,8
3;1048576;0,0001220703;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;25,64;26,99;26,74;29,08;2,34;108,75
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;25,64;26,99;26,74;27,44;0,7;102,62
