dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0002441406;25;4;RAE;2;RBF;3;EPSILON_SVR;7,52;8,17;7,97;8,19;0,22;102,78
2;1048576;0,0004882812;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,52;8,17;7,97;8,19;0,22;102,82
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,52;8,17;7,97;8,11;0,14;101,73
2;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,41
2;2048;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,4
2;4096;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,41
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,52;8,17;7,97;8,11;0,14;101,73
2;0,125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,41
2;2048;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,4
2;4096;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,41
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,52;8,17;7,97;8,11;0,14;101,73
2;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,52;8,17;7,97;8,16;0,19;102,41
3;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;7,49;7,59;8,17;7,74;0,43;94,72
3;1048576;0,0001220703;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;7,49;7,59;8,17;7,66;0,51;93,76
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;7,49;7,59;8,17;7,7;0,47;94,21
3;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;7,49;7,59;8,17;7,8;0,37;95,45
3;1048576;0,0000610352;25;1;RMSE;2;RBF;3;EPSILON_SVR;7,49;7,59;8,17;7,66;0,51;93,75
3;1048576;0,001953125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;7,49;7,59;8,17;7,66;0,51;93,77
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;7,49;7,59;8,17;7,7;0,47;94,21
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;7,49;7,59;8,17;7,66;0,51;93,76
3;8192;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;7,49;7,59;8,17;7,74;0,43;94,72
3;1048576;0,0001220703;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;7,49;7,59;8,17;7,66;0,51;93,76
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;7,49;7,59;8,17;7,7;0,47;94,21
3;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;7,49;7,59;8,17;7,8;0,37;95,45
