dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,00390625;25;4;RAE;2;RBF;3;EPSILON_SVR;10,92;11,18;11;11,12;0,12;101,08
2;1048576;0,015625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;10,92;11,18;11;1618,13;1607,13;14710,26
2;262144;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;10,92;11,18;11;11,13;0,13;101,17
2;0,00390625;4;25;4;RAE;0;Linear;3;EPSILON_SVR;10,92;11,18;11;11,17;0,17;101,51
2;1048576;0,00390625;25;1;RMSE;2;RBF;3;EPSILON_SVR;10,92;11,18;11;11,12;0,12;101,08
2;1048576;0,0625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;10,92;11,18;11;6079,22;6068,22;55265,64
2;262144;0,0009765625;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;10,92;11,18;11;11,13;0,13;101,17
2;0,00390625;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;10,92;11,18;11;11,17;0,17;101,51
2;1048576;0,00390625;25;5;COMBINED;2;RBF;3;EPSILON_SVR;10,92;11,18;11;11,12;0,12;101,08
2;1048576;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;10,92;11,18;11;26497,24;26486,24;240884,04
2;262144;0,0009765625;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;10,92;11,18;11;11,13;0,13;101,17
2;0,00390625;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;10,92;11,18;11;11,17;0,17;101,51
3;1048576;0,015625;25;4;RAE;2;RBF;3;EPSILON_SVR;10,75;10,98;11,18;11,04;0,14;98,73
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;10,75;10,98;11,18;10,78;0,4;96,38
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
3;1048576;0,015625;25;1;RMSE;2;RBF;3;EPSILON_SVR;10,75;10,98;11,18;11,04;0,14;98,73
3;1048576;0,0009765625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;10,75;10,98;11,18;10,78;0,4;96,38
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
3;1048576;0,015625;25;5;COMBINED;2;RBF;3;EPSILON_SVR;10,75;10,98;11,18;11,04;0,14;98,73
3;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;10,75;10,98;11,18;10,78;0,4;96,38
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;10,75;10,98;11,18;11,02;0,16;98,53
