dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,43;0,13;99,33
2;1048576;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-275455,79;275475,35;-1408260,66
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,92;0,64;96,71
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,36;0,2;98,97
2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,43;0,13;99,33
2;1048576;0,0625;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-275455,79;275475,35;-1408260,66
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,92;0,64;96,71
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,36;0,2;98,97
2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,43;0,13;99,33
2;1048576;0,0625;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-275455,79;275475,35;-1408260,66
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,92;0,64;96,71
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,36;0,2;98,97
2;1048576;0,00390625;35;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,67;0,11;100,55
2;1048576;0,0000610352;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,33;0,23;98,82
2;1048576;1024;35;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,99;0,57;97,1
2;1048576;4;35;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,45;0,11;99,46
2;1048576;0,001953125;35;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,56;0;100,01
2;1048576;0,0002441406;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,46;0,1;99,46
2;1048576;1024;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,99;0,57;97,1
2;1048576;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,45;0,11;99,46
2;1048576;0,00390625;35;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,67;0,11;100,55
2;1048576;0,0000610352;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,33;0,23;98,82
2;1048576;1024;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;18,99;0,57;97,1
2;1048576;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,45;0,11;99,46
2;1048576;0,125;45;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;20,28;0,72;103,66
2;32768;0,0000305176;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;1048576;1024;45;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;19,17;0,39;98,03
2;1;4;45;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;1048576;0,25;45;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;20,17;0,61;103,13
2;32768;0,0000305176;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;262144;0,00390625;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,56;1;105,13
2;1;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;1048576;0,125;45;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;20,28;0,72;103,66
2;32768;0,0000305176;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;262144;0,00390625;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,56;1;105,13
2;1;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,76;0,2;101,03
2;64;0,0625;55;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,94;0,38;101,94
2;1024;0,001953125;55;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,84;0,28;101,45
2;1048576;0,00390625;55;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,36;0,8;104,07
2;2;4;55;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,84;0,28;101,45
2;64;0,0625;55;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,94;0,38;101,94
2;32768;0,0000305176;55;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,83;0,27;101,37
2;1048576;0,00390625;55;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,36;0,8;104,07
2;1;4;55;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,83;0,27;101,37
2;64;0,0625;55;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,94;0,38;101,94
2;1024;0,001953125;55;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,84;0,28;101,45
2;1048576;0,00390625;55;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,36;0,8;104,07
2;2;4;55;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,84;0,28;101,45
2;1048576;0,0004882812;65;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,83
2;2048;0,015625;65;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-7,06;26,62;-36,09
2;524288;0,00390625;65;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,59;1,03;105,29
2;65536;4;65;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,2;0,36;98,15
2;1048576;0,0004882812;65;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,83
2;2048;0,015625;65;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-7,06;26,62;-36,09
2;524288;0,00390625;65;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,59;1,03;105,29
2;65536;4;65;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,2;0,36;98,15
2;1048576;0,0004882812;65;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,83
2;2048;0,015625;65;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;-7,06;26,62;-36,09
2;524288;0,00390625;65;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,59;1,03;105,29
2;65536;4;65;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,2;0,36;98,15
2;16;0,125;75;4;RAE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,9;0,34;101,72
2;8192;0,0002441406;75;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,82
2;1048576;0,001953125;75;4;RAE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,92;1,36;106,96
2;2;4;75;4;RAE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,82
2;64;0,0625;75;1;RMSE;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,94;0,38;101,95
2;8192;0,0002441406;75;1;RMSE;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,82
2;524288;0,00390625;75;1;RMSE;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,74;1,18;106,02
2;4;4;75;1;RMSE;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,82;0,26;101,35
2;64;0,0625;75;5;COMBINED;2;RBF;3;EPSILON_SVR;19,08;19,58;19,56;19,94;0,38;101,95
2;8192;0,0002441406;75;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,82
2;524288;0,00390625;75;5;COMBINED;1;Polynomial;3;EPSILON_SVR;19,08;19,58;19,56;20,74;1,18;106,02
2;2;4;75;5;COMBINED;0;Linear;3;EPSILON_SVR;19,08;19,58;19,56;19,92;0,36;101,82
3;1048576;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;19,65;19,94;19,58;19,55;0,03;99,84
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;19,65;19,94;19,58;19,54;0,04;99,77
3;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;19,65;19,94;19,58;20,92;1,34;106,83
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;19,65;19,94;19,58;19,54;0,04;99,77
