dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;close_anterior;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0000610352;25;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,56;0,31;100,51
2;1048576;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,57;0,32;100,53
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,03;1,22;97,98
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,57;0,32;100,53
2;1048576;0,0002441406;25;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,5;0,25;100,42
2;1024;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;58,34;1,91;96,83
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,03;1,22;97,98
2;0,03125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;58,34;1,91;96,83
2;1048576;0,0001220703;25;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,53;0,28;100,46
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,57;0,32;100,53
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,03;1,22;97,98
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,57;0,32;100,53
2;1048576;0,125;35;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,55;0,7;98,85
2;8192;0,0004882812;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,1;0,15;99,76
2;1048576;0,001953125;35;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,42
2;1;4;35;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,27;0,02;100,03
2;1048576;0,125;35;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,55;0,7;98,85
2;8192;0,0004882812;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,1;0,15;99,76
2;1048576;0,001953125;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,42
2;1;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,27;0,02;100,03
2;1048576;0,125;35;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,55;0,7;98,85
2;8192;0,0004882812;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,1;0,15;99,76
2;1048576;0,001953125;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,42
2;1;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,27;0,02;100,03
2;1048576;0,125;45;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,8;0,45;99,25
2;262144;0,0004882812;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,19;0,06;99,9
2;1048576;1024;45;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,43
2;32;4;45;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;59,65;0,6;99,01
2;1048576;0,00390625;45;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,83;0,42;99,31
2;262144;0,0000305176;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;59,84;0,41;99,33
2;1048576;1024;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,43
2;32;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;59,65;0,6;99,01
2;1048576;0,125;45;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,8;0,45;99,25
2;1048576;0,0001220703;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,17;0,08;99,87
2;1048576;1024;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;59,3;0,95;98,43
2;32;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;59,65;0,6;99,01
2;1048576;0,0002441406;55;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,35;0,1;100,16
2;1048576;0,0000610352;55;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,21;0,04;99,93
2;1048576;0,00390625;55;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,19;0,06;99,91
2;262144;4;55;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;56,96;3,29;94,54
2;1048576;0,015625;55;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,02;0,23;99,62
2;32768;0,0001220703;55;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,35;0,1;100,17
2;1048576;1024;55;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,17;0,08;99,86
2;262144;4;55;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;56,96;3,29;94,54
2;1048576;0,015625;55;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,02;0,23;99,62
2;65536;0,0001220703;55;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,16;0,09;99,84
2;1048576;1024;55;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,17;0,08;99,86
2;262144;4;55;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;56,96;3,29;94,54
2;1048576;0,0625;65;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,12;0,13;99,79
2;512;0,03125;65;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;73,14;12,89;121,39
2;1048576;1024;65;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,28;0,03;100,04
2;8;4;65;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,18;0,07;99,88
2;1048576;0,0625;65;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,12;0,13;99,79
2;512;0,0078125;65;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,32;0,07;100,12
2;1048576;1024;65;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,28;0,03;100,04
2;8;4;65;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,18;0,07;99,88
2;1048576;0,0625;65;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,12;0,13;99,79
2;512;0,0078125;65;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,32;0,07;100,12
2;1048576;1024;65;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,28;0,03;100,04
2;8;4;65;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,18;0,07;99,88
2;1048576;0,015625;75;4;RAE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;60,02;0,23;99,61
2;1048576;0,0001220703;75;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,34;0,09;100,15
2;1048576;1024;75;4;RAE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,51;0,26;100,43
2;65536;4;75;4;RAE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;60,54;0,29;100,48
2;1048576;0,0078125;75;1;RMSE;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,98;0,27;99,56
2;1048576;0,0001220703;75;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,34;0,09;100,15
2;1048576;1024;75;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,51;0,26;100,43
2;32768;4;75;1;RMSE;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;59,87;0,38;99,37
2;1048576;0,0078125;75;5;COMBINED;2;RBF;3;EPSILON_SVR;59,02;60,25;60,25;59,98;0,27;99,56
2;1048576;0,0001220703;75;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,02;60,25;60,25;60,34;0,09;100,15
2;1048576;1024;75;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,02;60,25;60,25;60,51;0,26;100,43
2;32768;4;75;5;COMBINED;0;Linear;3;EPSILON_SVR;59,02;60,25;60,25;59,87;0,38;99,37
3;8192;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,29;0,96;98,41
3;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,58;0,67;98,89
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,53;0,28;100,46
3;0,5;4;25;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,29;0,96;98,41
3;32768;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,68;0,57;99,05
3;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,58;0,67;98,89
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,53;0,28;100,46
3;0,5;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,29;0,96;98,41
3;8192;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,29;0,96;98,41
3;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,58;0,67;98,89
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,53;0,28;100,46
3;0,5;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,29;0,96;98,41
3;1048576;0,25;35;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,36;0,89;98,52
3;32768;0,0000305176;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;262144;0,00390625;35;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,6;0,35;100,58
3;1;4;35;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;1048576;0,25;35;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,36;0,89;98,52
3;32768;0,0000305176;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;262144;0,00390625;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,6;0,35;100,58
3;1;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;1048576;0,25;35;5;COMBINED;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,36;0,89;98,52
3;32768;0,0000305176;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;262144;0,00390625;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,6;0,35;100,58
3;1;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;58;59,53;60,25;59,34;0,91;98,49
3;1048576;0,0625;45;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,74;0,51;99,15
3;32768;0,0002441406;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;262144;0,0078125;45;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;59,98;0,27;99,55
3;8;4;45;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;1048576;0,0625;45;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,74;0,51;99,15
3;65536;0,0001220703;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;1048576;1024;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;59,96;0,29;99,51
3;8;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;1048576;0,0625;45;5;COMBINED;2;RBF;3;EPSILON_SVR;58;59,53;60,25;59,74;0,51;99,15
3;65536;0,0001220703;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;262144;0,0078125;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;59,98;0,27;99,55
3;8;4;45;5;COMBINED;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,25;0;100
3;1048576;0,03125;55;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,49;0,24;100,4
3;16384;0,0002441406;55;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,18;0,07;99,89
3;1048576;1024;55;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,81;0,56;100,93
3;8;4;55;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,13;0,12;99,79
3;1048576;0,0625;55;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,28;0,03;100,06
3;256;0,015625;55;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;61,26;1,01;101,68
3;1048576;1024;55;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,81;0,56;100,93
3;4;4;55;1;RMSE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,18;0,07;99,89
3;1048576;0,03125;55;5;COMBINED;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,49;0,24;100,4
3;32768;0,0001220703;55;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,18;0,07;99,89
3;1048576;1024;55;5;COMBINED;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,81;0,56;100,93
3;8;4;55;5;COMBINED;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,13;0,12;99,79
3;1048576;0,125;65;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,17;0,08;99,86
3;1048576;0,0004882812;65;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;59,36;0,89;98,52
3;1048576;1024;65;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,71;0,46;100,77
3;4;4;65;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,24;0,01;99,98
3;1048576;0,125;65;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,17;0,08;99,86
3;2048;0,00390625;65;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,27;0,02;100,03
3;1048576;1024;65;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,71;0,46;100,77
3;4;4;65;1;RMSE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,24;0,01;99,98
3;1048576;0,125;65;5;COMBINED;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,17;0,08;99,86
3;16384;0,0009765625;65;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,37;0,12;100,2
3;1048576;1024;65;5;COMBINED;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,71;0,46;100,77
3;4;4;65;5;COMBINED;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,24;0,01;99,98
3;1048576;0,0625;75;4;RAE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,4;0,15;100,25
3;1024;0,03125;75;4;RAE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;90,2;29,95;149,71
3;262144;0,0078125;75;4;RAE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,75;0,5;100,82
3;8;4;75;4;RAE;0;Linear;3;EPSILON_SVR;58;59,53;60,25;60,27;0,02;100,03
3;1048576;0,0625;75;1;RMSE;2;RBF;3;EPSILON_SVR;58;59,53;60,25;60,4;0,15;100,25
3;4096;0,001953125;75;1;RMSE;3;Sigmoid;3;EPSILON_SVR;58;59,53;60,25;60,28;0,03;100,04
3;262144;0,0078125;75;1;RMSE;1;Polynomial;3;EPSILON_SVR;58;59,53;60,25;60,75;0,5;100,82
