dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;1;25;4;RAE;2;RBF;3;EPSILON_SVR;57,74;57,74;58,03;0,29;100,5
2;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;57,74;57,74;59,53;1,79;103,09
2;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;57,74;57,74;56,9;0,84;98,55
2;1;4;25;4;RAE;0;Linear;3;EPSILON_SVR;57,74;57,74;57,13;0,61;98,94
2;1048576;1;25;1;RMSE;2;RBF;3;EPSILON_SVR;57,74;57,74;58,03;0,29;100,5
2;1048576;1024;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;57,74;57,74;4194362,04;4194304,3;7264222,45
2;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;57,74;57,74;56,9;0,84;98,55
2;0,0009765625;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;57,74;57,74;58,01;0,27;100,47
2;1048576;1;25;5;COMBINED;2;RBF;3;EPSILON_SVR;57,74;57,74;58,03;0,29;100,5
2;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;57,74;57,74;59,53;1,79;103,09
2;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;57,74;57,74;56,9;0,84;98,55
2;1;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;57,74;57,74;57,13;0,61;98,94
3;1048576;0,5;25;4;RAE;2;RBF;3;EPSILON_SVR;59,24;57,74;57,74;0;100
3;1048576;0,001953125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,24;57,74;56,59;1,15;98,01
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;59,24;57,74;56,91;0,83;98,57
3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;59,24;57,74;56,77;0,97;98,32
3;1048576;0,5;25;1;RMSE;2;RBF;3;EPSILON_SVR;59,24;57,74;57,74;0;100
3;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,24;57,74;56,77;0,97;98,32
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,24;57,74;56,91;0,83;98,57
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;59,24;57,74;56,77;0,97;98,32
3;1048576;0,5;25;5;COMBINED;2;RBF;3;EPSILON_SVR;59,24;57,74;57,74;0;100
3;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,24;57,74;57,57;0,17;99,7
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,24;57,74;56,91;0,83;98,57
3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;59,24;57,74;56,77;0,97;98,32
