ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real;valor_predito;diffMod;perc_acerto
AGRO3.SA.arff;2;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;11,07;11,09;0,02;100,16
AGRO3.SA.arff;2;1048576;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,07;-14958,47;14969,54;-135126,19
AGRO3.SA.arff;2;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;11,07;11,29;0,22;101,94
AGRO3.SA.arff;2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;11,07;11,09;0,02;100,15
AGRO3.SA.arff;2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;11,07;11,09;0,02;100,16
AGRO3.SA.arff;2;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,07;11,09;0,02;100,15
AGRO3.SA.arff;2;1048576;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,07;11,29;0,22;101,94
AGRO3.SA.arff;2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;11,07;11,09;0,02;100,15
AGRO3.SA.arff;2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;11,07;11,09;0,02;100,16
AGRO3.SA.arff;2;1048576;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,07;7030,78;7019,71;63512,01
AGRO3.SA.arff;2;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,07;11,29;0,22;101,94
AGRO3.SA.arff;2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;11,07;11,09;0,02;100,15
AGRO3.SA.arff;3;1048576;0,0001220703;25;4;RAE;2;RBF;3;EPSILON_SVR;11,09;11,1;0,01;100,06
AGRO3.SA.arff;3;2048;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;11,09;11,21;0,12;101,1
AGRO3.SA.arff;3;1048576;0,001953125;25;4;RAE;1;Polynomial;3;EPSILON_SVR;11,09;11,24;0,15;101,35
AGRO3.SA.arff;3;0,0625;4;25;4;RAE;0;Linear;3;EPSILON_SVR;11,09;11,21;0,12;101,1
AGRO3.SA.arff;3;1048576;0,0001220703;25;1;RMSE;2;RBF;3;EPSILON_SVR;11,09;11,1;0,01;100,06
AGRO3.SA.arff;3;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;11,09;11,1;0,01;100,05
AGRO3.SA.arff;3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;11,09;11,24;0,15;101,34
AGRO3.SA.arff;3;0,03125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;11,09;11,22;0,13;101,18
AGRO3.SA.arff;3;1048576;0,0001220703;25;5;COMBINED;2;RBF;3;EPSILON_SVR;11,09;11,1;0,01;100,06
AGRO3.SA.arff;3;2048;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;11,09;11,21;0,12;101,1
AGRO3.SA.arff;3;1048576;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;11,09;11,24;0,15;101,35
AGRO3.SA.arff;3;0,0625;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;11,09;11,21;0,12;101,1
