ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real;valor_predito;diffMod;perc_acerto
BBDC4.SA.arff;2;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;21,71;21,97;0,26;101,2
BBDC4.SA.arff;2;1048576;0,0000610352;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;21,71;21,82;0,11;100,52
BBDC4.SA.arff;2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;21,71;21,97;0,26;101,2
BBDC4.SA.arff;2;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;21,71;21,82;0,11;100,52
BBDC4.SA.arff;2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;21,71;21,97;0,26;101,2
BBDC4.SA.arff;2;1048576;0,0000610352;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;21,71;21,82;0,11;100,52
BBDC4.SA.arff;2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;21,71;22,13;0,42;101,93
BBDC4.SA.arff;3;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;21,78;22,28;0,5;102,29
BBDC4.SA.arff;3;1048576;0,0625;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;21,78;112931,41;112909,63;518509,7
BBDC4.SA.arff;3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;21,78;21,42;0,36;98,35
BBDC4.SA.arff;3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;21,78;22,32;0,54;102,48
BBDC4.SA.arff;3;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;21,78;22,28;0,5;102,29
BBDC4.SA.arff;3;1048576;0,0004882812;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;21,78;22,32;0,54;102,5
BBDC4.SA.arff;3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;21,78;21,42;0,36;98,35
BBDC4.SA.arff;3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;21,78;22,32;0,54;102,48
BBDC4.SA.arff;3;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;21,78;22,28;0,5;102,29
BBDC4.SA.arff;3;1048576;0,015625;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;21,78;3822,67;3800,89;17551,27
BBDC4.SA.arff;3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;21,78;21,42;0,36;98,35
BBDC4.SA.arff;3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;21,78;22,32;0,54;102,48
