ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real;valor_predito;diffMod;perc_acerto
BRFS3.SA.arff;2;1048576;0,5;25;4;RAE;2;RBF;3;EPSILON_SVR;57,74;57,74;0;100
BRFS3.SA.arff;2;1048576;0,001953125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;57,74;56,59;1,15;98,01
BRFS3.SA.arff;2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;57,74;56,91;0,83;98,57
BRFS3.SA.arff;2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;57,74;56,77;0,97;98,32
BRFS3.SA.arff;2;1048576;0,5;25;1;RMSE;2;RBF;3;EPSILON_SVR;57,74;57,74;0;100
BRFS3.SA.arff;2;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;57,74;56,77;0,97;98,32
BRFS3.SA.arff;2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;57,74;56,91;0,83;98,57
BRFS3.SA.arff;2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;57,74;56,77;0,97;98,32
BRFS3.SA.arff;2;1048576;0,5;25;5;COMBINED;2;RBF;3;EPSILON_SVR;57,74;57,74;0;100
BRFS3.SA.arff;2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;57,74;57,57;0,17;99,7
BRFS3.SA.arff;2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;57,74;56,91;0,83;98,57
BRFS3.SA.arff;2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;57,74;56,77;0,97;98,32
BRFS3.SA.arff;3;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;59,24;60,61;1,37;102,32
BRFS3.SA.arff;3;1048576;0,0001220703;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;59,24;60,67;1,43;102,41
BRFS3.SA.arff;3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;59,24;60,14;0,9;101,53
BRFS3.SA.arff;3;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;59,24;60,67;1,43;102,41
BRFS3.SA.arff;3;1048576;0,0625;25;1;RMSE;2;RBF;3;EPSILON_SVR;59,24;59,95;0,71;101,2
BRFS3.SA.arff;3;1048576;0,0000610352;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;59,24;60,54;1,3;102,2
BRFS3.SA.arff;3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;59,24;60,14;0,9;101,53
BRFS3.SA.arff;3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;59,24;60,67;1,43;102,41
BRFS3.SA.arff;3;1048576;0,0625;25;5;COMBINED;2;RBF;3;EPSILON_SVR;59,24;59,95;0,71;101,2
BRFS3.SA.arff;3;1048576;0,0001220703;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;59,24;60,67;1,43;102,41
BRFS3.SA.arff;3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;59,24;60,14;0,9;101,53
BRFS3.SA.arff;3;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;59,24;60,67;1,43;102,41
