ativo;dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
PETR4.SA.arff;2;1;0,5;25;4;RAE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,14;0,44;94,84
PETR4.SA.arff;2;4096;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;1048576;0,0009765625;25;4;RAE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,38;0,2;97,69
PETR4.SA.arff;2;0,125;4;25;4;RAE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;2;0,25;25;1;RMSE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,33;0,25;97,1
PETR4.SA.arff;2;4096;0,0000305176;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;262144;0,001953125;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,51;0,07;99,13
PETR4.SA.arff;2;0,125;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;1048576;0,25;25;5;COMBINED;2;RBF;3;EPSILON_SVR;8,34;8,58;8,19;0,39;95,42
PETR4.SA.arff;2;4096;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;262144;0,001953125;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,51;0,07;99,13
PETR4.SA.arff;2;0,125;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;1048576;0,015625;35;4;RAE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,29;0,29;96,62
PETR4.SA.arff;2;32768;0,0002441406;35;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,29;0,29;96,64
PETR4.SA.arff;2;1048576;1024;35;4;RAE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,67;0,09;101,06
PETR4.SA.arff;2;4;4;35;4;RAE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,42;0,16;98,18
PETR4.SA.arff;2;1048576;0,03125;35;1;RMSE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,44;0,14;98,34
PETR4.SA.arff;2;512;0,0078125;35;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,38;0,2;97,64
PETR4.SA.arff;2;1048576;1024;35;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,67;0,09;101,06
PETR4.SA.arff;2;2;4;35;1;RMSE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,48;0,1;98,83
PETR4.SA.arff;2;1048576;0,015625;35;5;COMBINED;2;RBF;3;EPSILON_SVR;8,34;8,58;8,29;0,29;96,62
PETR4.SA.arff;2;32768;0,0002441406;35;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,29;0,29;96,64
PETR4.SA.arff;2;1048576;1024;35;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,67;0,09;101,06
PETR4.SA.arff;2;4;4;35;5;COMBINED;0;Linear;3;EPSILON_SVR;8,34;8,58;8,42;0,16;98,18
PETR4.SA.arff;2;64;0,015625;45;4;RAE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,51;0,07;99,19
PETR4.SA.arff;2;16384;0,00390625;45;4;RAE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,61;0,03;100,41
PETR4.SA.arff;2;1048576;0,001953125;45;4;RAE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
PETR4.SA.arff;2;4;4;45;4;RAE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,44;0,14;98,36
PETR4.SA.arff;2;128;0,0078125;45;1;RMSE;2;RBF;3;EPSILON_SVR;8,34;8,58;8,48;0,1;98,82
PETR4.SA.arff;2;65536;0,0000305176;45;1;RMSE;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;8,47;0,11;98,72
PETR4.SA.arff;2;1048576;1024;45;1;RMSE;1;Polynomial;3;EPSILON_SVR;8,34;8,58;9,04;0,46;105,37
PETR4.SA.arff;2;2;4;45;1;RMSE;0;Linear;3;EPSILON_SVR;8,34;8,58;8,47;0,11;98,72
PETR4.SA.arff;2;128;0,0078125;45;5;COMBINED;2;RBF;3;EPSILON_SVR;8,34;8,58;8,48;0,1;98,82
PETR4.SA.arff;2;2048;0,015625;45;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;8,34;8,58;13,83;5,25;161,2
PETR4.SA.arff;2;1048576;0,001953125;45;5;COMBINED;1;Polynomial;3;EPSILON_SVR;8,34;8,58;8,32;0,26;97
